#Digilent WaveForms Oscilloscope Acquisition,,,,,,,,,,
#Device Name: Discovery2,,,,,,,,,,
#Serial Number: SN:210321A35E99,,,,,,,,,,
#Date Time: 2024-12-02 09:22:30.457,,,,,,,,,,
#Sample rate: 5000Hz,,,,,,,,,,
#Samples: 25000,,,,,,,,,,
#Channel 1: Range: 500 mV/div Offset: -2 V Sample Mode: Average,,,,,,,,,,
,,,,,,,,,,
Time (s),EXP11,EXP12,EXP13,EXP14,EXP15,EXP21,EXP22,EXP23,EXP24,EXP25
4.4162,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4164,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4166,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4168,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.417,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4172,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4174,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4176,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4178,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.418,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4182,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4184,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4186,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4188,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.419,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4192,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4194,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4196,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4198,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.42,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4202,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4204,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4206,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4208,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.421,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4212,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4214,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4216,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4218,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.422,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4222,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4224,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4226,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4228,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.423,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4232,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4234,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4236,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4238,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.424,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4242,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4244,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4246,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4248,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.425,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4252,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4254,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4256,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4258,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.426,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4262,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4264,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4266,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4268,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.427,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4272,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4274,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4276,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4278,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.428,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4282,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4284,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4286,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4288,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.429,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4292,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4294,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4296,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4298,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.43,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4302,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4304,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4306,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4308,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.431,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4312,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4314,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4316,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4318,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.432,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4322,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4326,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
